station_id,date,t_min,t_max,t_mean
IUNG1,2025-08-25,0.0,20.1,10.05
IUNG1,2025-08-26,0.0,20.7,10.35
IUNG1,2025-08-27,0.0,26.6,13.3
IUNG1,2025-08-28,0.0,33.0,16.5
IUNG1,2025-08-29,0.0,32.1,16.05
IUNG1,2025-08-30,0.0,32.1,16.05
IUNG1,2025-08-31,0.0,24.6,12.3
IUNG1,2025-09-01,0.0,24.4,12.2
IUNG1,2025-09-02,14.1,32.0,23.05
IUNG1,2025-09-03,0.0,23.4,11.7
IUNG1,2025-09-04,0.0,28.8,14.4
IUNG1,2025-09-05,0.0,32.8,16.4
IUNG1,2025-09-06,16.4,27.2,21.8
IUNG1,2025-09-07,0.0,20.4,10.2
IUNG1,2025-09-08,13.3,26.6,19.95
IUNG1,2025-09-09,0.0,26.0,13.0
IUNG1,2025-09-10,0.0,27.1,13.55
IUNG1,2025-09-11,0.0,20.0,10.0
IUNG1,2025-09-12,0.0,24.6,12.3
IUNG1,2025-09-13,0.0,23.2,11.6
IUNG1,2025-09-14,0.0,22.1,11.05
IUNG1,2025-09-15,0.0,21.2,10.6
IUNG1,2025-09-16,12.1,19.2,15.65
IUNG1,2025-09-17,0.0,17.1,8.55
IUNG1,2025-09-18,0.0,20.1,10.05
IUNG1,2025-09-19,0.0,21.5,10.75
IUNG1,2025-09-20,0.0,27.9,13.95
IUNG1,2025-09-21,0.0,29.6,14.8
IUNG1,2025-09-22,0.0,28.7,14.35
IUNG1,2025-09-23,10.2,14.4,12.3
IUNG1,2025-09-24,0.0,17.4,8.7
IUNG1,2025-09-25,0.0,16.6,8.3
IUNG1,2025-09-26,0.0,17.4,8.7
IUNG1,2025-09-27,0.0,19.2,9.6
IUNG1,2025-09-28,0.0,14.6,7.3
IUNG1,2025-09-29,7.8,9.7,8.75
IUNG1,2025-09-30,0.0,9.9,4.95
IUNG1,2025-10-01,0.0,12.3,6.15
IUNG1,2025-10-02,-0.8,12.3,5.75
IUNG1,2025-10-03,-1.9,9.8,3.95
IUNG1,2025-10-04,0.0,12.9,6.45
IUNG1,2025-10-05,0.0,13.7,6.85
IUNG1,2025-10-06,0.0,14.0,7.0
IUNG1,2025-10-07,0.0,15.8,7.9
IUNG1,2025-10-08,0.0,15.6,7.8
IUNG1,2025-10-09,0.0,12.1,6.05
IUNG1,2025-10-10,0.0,14.2,7.1
IUNG1,2025-10-11,0.0,13.6,6.8
IUNG1,2025-10-12,0.0,12.2,6.1
IUNG1,2025-10-13,0.0,12.2,6.1
IUNG1,2025-10-14,0.0,12.0,6.0
IUNG1,2025-10-15,0.0,11.0,5.5
IUNG1,2025-10-16,0.0,13.1,6.55
IUNG1,2025-10-17,8.5,13.4,10.95
IUNG1,2025-10-18,0.0,8.7,4.35
IUNG1,2025-10-19,-1.4,9.6,4.1
IUNG1,2025-10-20,-2.6,10.1,3.75
IUNG1,2025-10-21,0.2,13.6,6.9
IUNG1,2025-10-22,0.0,14.4,7.2
IUNG1,2025-10-23,0.0,20.0,10.0
IUNG1,2025-10-24,0.0,15.0,7.5
IUNG1,2025-10-25,5.3,12.6,8.95
IUNG1,2025-10-26,5.2,12.3,8.75
IUNG1,2025-10-27,5.5,9.7,7.6
IUNG1,2025-10-28,0.0,8.9,4.45
IUNG1,2025-10-29,0.0,13.1,6.55
IUNG1,2025-10-30,0.0,16.2,8.1
IUNG1,2025-10-31,0.6,12.0,6.3
IUNG1,2025-11-01,-0.7,14.8,7.05
IUNG1,2025-11-02,9.3,16.7,13.0
IUNG1,2025-11-03,9.0,12.0,10.5
IUNG1,2025-11-04,0.0,12.1,6.05
IUNG1,2025-11-05,1.0,13.3,7.15
IUNG1,2025-11-06,0.0,13.6,6.8
IUNG1,2025-11-07,0.0,14.5,7.25
IUNG1,2025-11-08,0.0,6.3,3.15
IUNG1,2025-11-09,0.0,7.7,3.85
IUNG1,2025-11-10,0.0,8.9,4.45
IUNG1,2025-11-11,0.0,7.0,3.5
IUNG1,2025-11-12,0.0,8.1,4.05
IUNG1,2025-11-13,3.8,10.9,7.35
IUNG1,2025-11-14,0.0,11.3,5.65
IUNG1,2025-11-15,0.0,7.1,3.55
IUNG1,2025-11-16,2.1,9.0,5.55
IUNG1,2025-11-17,0.0,8.4,4.2
